条目ID,登记名称,目录名称,目录状态,卷,部,目录分类,条目类型,研究深度,登记状态,证据截止日,Jev实际模型,Jev推理版本,Jev示例版本,运行时间UTC,摘要SHA256,Mapping文件,Jev原始结果文件,四气选择,四气选择置信度,四气_寒_概率,四气_凉_概率,四气_平_概率,四气_温_概率,四气_热_概率,五味_酸_Noul得分,五味_苦_Noul得分,五味_甘_Noul得分,五味_辛_Noul得分,五味_咸_Noul得分,归经_心经_Noul得分,归经_肝经_Noul得分,归经_脾经_Noul得分,归经_肺经_Noul得分,归经_肾经_Noul得分,心经_主方向选择,心经_方向选择置信度,心经_阴-_概率,心经_阴+_概率,心经_阳-_概率,心经_阳+_概率,肝经_主方向选择,肝经_方向选择置信度,肝经_阴-_概率,肝经_阴+_概率,肝经_阳-_概率,肝经_阳+_概率,脾经_主方向选择,脾经_方向选择置信度,脾经_阴-_概率,脾经_阴+_概率,脾经_阳-_概率,脾经_阳+_概率,肺经_主方向选择,肺经_方向选择置信度,肺经_阴-_概率,肺经_阴+_概率,肺经_阳-_概率,肺经_阳+_概率,肾经_主方向选择,肾经_方向选择置信度,肾经_阴-_概率,肾经_阴+_概率,肾经_阳-_概率,肾经_阳+_概率
chewing-gum,口香糖,口香糖,正式目录,卷二,甘食部,现代糖品,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:08.308453+00:00,f23c93a544a26cd723dbdabc60a5ab4410b1c51d149554749ab3d2c577998192,references/entries/chewing-gum/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/chewing-gum.json,平,1,0,0,1,0,0,0.05,0.04,0.37,0.07,0.04,0.04,0.04,0.08,0.05,0.04,阳-,0.07,0.25,0.23,0.31,0.21,阳-,0.25,0.4,0.07,0.43,0.1,阴-,0.22,0.42,0.29,0.02,0.27,阴+,0.27,0.32,0.45,0.14,0.09,阴-,0.38,0.54,0.24,0.12,0.1
sugar-free-gum,无糖口香糖,无糖口香糖,正式目录,卷二,甘食部,现代糖品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:08.710985+00:00,752b8782279ea1ac5eda2a81e7a143ff5f46af6a5e7600d4b73067e6d9227bb3,references/entries/sugar-free-gum/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/sugar-free-gum.json,平,1,0,0,1,0,0,0.05,0.04,0.31,0.05,0.05,0.04,0.04,0.11,0.05,0.04,阳-,0.2,0.37,0.06,0.4,0.17,阴-,0.27,0.46,0.02,0.45,0.07,阴-,0.63,0.72,0.06,0.03,0.19,阴-,0.35,0.52,0.12,0.29,0.07,阴-,0.55,0.67,0.13,0.12,0.08
sugar-substitute-dessert,代糖甜点,代糖甜点,正式目录,卷二,甘食部,现代糖品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:09.063245+00:00,bbf2925fe87c5296be45d4f20287ee9002b4ee2595a535622cc157553223f089,references/entries/sugar-substitute-dessert/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/sugar-substitute-dessert.json,平,1,0,0,1,0,0,0.04,0.04,0.3,0.04,0.04,0.04,0.04,0.11,0.04,0.04,阳-,0.39,0.21,0.08,0.54,0.17,阳-,0.27,0.43,0.04,0.45,0.08,阴-,0.54,0.65,0.04,0.06,0.25,阴-,0.21,0.41,0.19,0.3,0.1,阴-,0.42,0.57,0.14,0.18,0.11
low-sugar-dessert,低糖甜点,低糖甜点,正式目录,卷二,甘食部,现代糖品,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:09.448652+00:00,0e6fda40baad09ea13819011c70384d7aaaa19b81410f685688bcf86d2c782a6,references/entries/low-sugar-dessert/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/low-sugar-dessert.json,平,1,0,0,1,0,0,0.04,0.04,0.15,0.04,0.04,0.04,0.04,0.05,0.03,0.03,阳-,0.34,0.26,0.07,0.51,0.16,阳-,0.38,0.35,0.04,0.54,0.07,阴-,0.32,0.49,0.08,0.11,0.32,阴-,0.2,0.39,0.15,0.39,0.07,阴-,0.35,0.51,0.16,0.2,0.13
protein-bar,蛋白棒,蛋白棒,正式目录,卷二,甘食部,现代糖品,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:09.801128+00:00,a4478364c9c937d42b2094624e851663518f3e890b7add76a97776d2ec363a96,references/entries/protein-bar/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/protein-bar.json,平,1,0,0,1,0,0,0.04,0.04,0.09,0.04,0.04,0.04,0.04,0.09,0.04,0.04,阳+,0.16,0.25,0.07,0.31,0.37,阴-,0.22,0.42,0.03,0.41,0.14,阴-,0.39,0.54,0.04,0.02,0.4,阴-,0.4,0.55,0.18,0.16,0.11,阴-,0.37,0.53,0.17,0.14,0.16
pistachio,开心果,开心果,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen,2026-09-23,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:22:59.064339+00:00,63d1e64b5d5e52ff4c8bea5e161b0a76e950f1ed6383bc40fbb87f98f0135ffb,references/entries/pistachio/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/pistachio.json,温,0.91,0,0,0.07,0.93,0,0.14,0.05,0.59,0.64,0.06,0.09,0.13,0.45,0.07,0.19,阳+,0.51,0.1,0.08,0.19,0.63,阳+,0.57,0.11,0.05,0.17,0.67,阳+,0.82,0.12,0.01,0,0.87,阳+,0.47,0.25,0.08,0.07,0.6,阳+,0.81,0.08,0.04,0.02,0.86
cashew,腰果,腰果,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:10.649770+00:00,3466f439e36fe920518ac45b3bb7b39f2b87a7e23e15aa0aef915829145844cc,references/entries/cashew/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/cashew.json,平,0.99,0,0,1,0,0,0.05,0.05,0.12,0.06,0.07,0.05,0.06,0.07,0.04,0.06,阳-,0.14,0.23,0.18,0.35,0.24,阴-,0.09,0.31,0.25,0.31,0.13,阳+,0.18,0.3,0.28,0.03,0.39,阴+,0.16,0.36,0.37,0.14,0.13,阴+,0.28,0.35,0.46,0.07,0.12
almond,巴旦木,巴旦木,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:10.983239+00:00,38acc89e6c8331be345490b7e2a5f65bd0afb87a86482482657c07fc8bc49b5e,references/entries/almond/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/almond.json,平,0.98,0,0,0.99,0.01,0,0.07,0.07,0.33,0.07,0.08,0.05,0.06,0.1,0.07,0.07,阴+,0.18,0.23,0.38,0.16,0.23,阴+,0.29,0.31,0.47,0.11,0.11,阳+,0.23,0.21,0.35,0.02,0.42,阴+,0.52,0.27,0.64,0.05,0.04,阴+,0.47,0.28,0.61,0.04,0.07
pecan,碧根果,碧根果,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:07:11.326861+00:00,527a32f1d008bc262f821c18eec24bdaa8c49f7364bef53ab118f3e0ebd295d1,references/entries/pecan/mapping.md,qa/jev-entry-batches/10-confections-nuts/raw/pecan.json,平,0.98,0,0,0.99,0.01,0,0.06,0.06,0.21,0.07,0.09,0.11,0.08,0.1,0.05,0.08,阳-,0.13,0.13,0.24,0.35,0.28,阴+,0.2,0.22,0.4,0.24,0.14,阳+,0.18,0.31,0.25,0.06,0.38,阴+,0.38,0.24,0.55,0.1,0.11,阴+,0.44,0.22,0.58,0.09,0.11
macadamia,夏威夷果,夏威夷果,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:19.407960+00:00,42dcc47efe733438fb99cd7e21dc7943807ca517414ed1856c2e1c22e05b51b3,references/entries/macadamia/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/macadamia.json,平,1,0,0,1,0,0,0.05,0.05,0.14,0.06,0.06,0.04,0.05,0.07,0.04,0.06,阳+,0.13,0.21,0.27,0.18,0.33999999999999997,阴+,0.17,0.3,0.38,0.16,0.16,阴+,0.13,0.29,0.34,0.03,0.34,阴+,0.33,0.29,0.5,0.1,0.11,阴+,0.35,0.29,0.51,0.08,0.12
hazelnut,榛子,榛子,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:19.573688+00:00,edf86254dda6ecf3dd4e9e062accb95d40b75149fa066f4741ae120692bff264,references/entries/hazelnut/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/hazelnut.json,平,0.97,0,0,0.98,0.02,0,0.06,0.05,0.75,0.06,0.07,0.14,0.11,0.35,0.07,0.16,阳+,0.49,0.08,0.15,0.15,0.62,阳+,0.19,0.18,0.35,0.08,0.39,阳+,0.88,0.02,0.06,0,0.92,阴+,0.19,0.21,0.4,0.03,0.36,阳+,0.37,0.08,0.37,0.02,0.53
brazil-nut,巴西坚果,巴西坚果,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:19.892672+00:00,83f905c1b5570736f0bc2319c825d6fb8e2d0456a3f26d624f59ac3a21cea087,references/entries/brazil-nut/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/brazil-nut.json,平,0.99,0,0,1,0,0,0.05,0.05,0.16,0.06,0.07,0.06,0.07,0.07,0.05,0.09,阴+,0.13,0.14,0.34,0.31,0.21,阴+,0.16,0.27,0.36,0.29,0.08,阴+,0.27,0.24,0.45,0.03,0.28,阴+,0.2,0.32,0.4,0.19,0.09,阴+,0.37,0.24,0.53,0.1,0.13
pine-nut-kernels,松子仁,松子仁,正式目录,卷三,坚果种仁部,常见坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:20.062391+00:00,8114c75dfe20d03654292084fcd98ada1f7c3abe0e2f7fea3cd84e04aac7a985,references/entries/pine-nut-kernels/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/pine-nut-kernels.json,平,0.98,0,0,0.98,0.02,0,0.08,0.06,0.25,0.09,0.06,0.06,0.08,0.1,0.08,0.1,阴+,0.54,0.16,0.65,0.08,0.11,阴+,0.63,0.17,0.73,0.06,0.04,阴+,0.61,0.17,0.7,0.01,0.12,阴+,0.71,0.16,0.78,0.03,0.03,阴+,0.79,0.11,0.84,0.02,0.03
salted-nuts,盐焗坚果,盐焗坚果,正式目录,卷三,坚果种仁部,调味坚果,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:20.219475+00:00,3ce7cc71149e7efb79d99b5829d373889b53b697ed245c59b0560f928c289da0,references/entries/salted-nuts/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/salted-nuts.json,平,0.97,0,0,0.98,0.02,0,0.04,0.05,0.12,0.08,0.34,0.05,0.06,0.08,0.04,0.06,阳+,0.16,0.26,0.05,0.32,0.37,阴-,0.12,0.33,0.16,0.33,0.18,阴-,0.28,0.46,0.05,0.04,0.45,阴-,0.32,0.5,0.15,0.19,0.16,阴-,0.52,0.64,0.1,0.1,0.16
honey-roasted-nuts,蜂蜜坚果,蜂蜜坚果,正式目录,卷三,坚果种仁部,调味坚果,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:20.381553+00:00,b2e5732b3d4c0411994c59c974e832c133bc65b5fecae68f3ec912a52b420bac,references/entries/honey-roasted-nuts/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/honey-roasted-nuts.json,平,0.99,0,0,1,0,0,0.04,0.04,0.4,0.06,0.07,0.04,0.05,0.08,0.04,0.05,阴+,0.26,0.16,0.44,0.17,0.23,阴-,0.07,0.3,0.2,0.27,0.23,阴+,0.23,0.2,0.43,0.03,0.34,阴+,0.42,0.27,0.57,0.08,0.08,阴+,0.39,0.29,0.55,0.06,0.1
sugar-coated-nuts,糖衣坚果,糖衣坚果,正式目录,卷三,坚果种仁部,调味坚果,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:20.566474+00:00,67fb7ed49ed018ea3b6c8b932ca3d4a0dc9c6f9e2da7bf0489e936ba48ca5761,references/entries/sugar-coated-nuts/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/sugar-coated-nuts.json,平,0.97,0,0,0.98,0.01,0.01,0.04,0.04,0.61,0.05,0.04,0.04,0.05,0.09,0.04,0.05,阳+,0.12,0.23,0.22,0.21,0.34,阴-,0.17,0.38,0.15,0.25,0.22,阳+,0.17,0.34,0.26,0.03,0.37,阴-,0.19,0.4,0.34,0.12,0.14,阴-,0.18,0.39,0.3,0.08,0.23
cocoa-coated-nuts,可可坚果,可可坚果,正式目录,卷三,坚果种仁部,调味坚果,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:20.741041+00:00,d40cc170b4fd1329476d1b83055443c90178427358e2ab7e78915b783463b40e,references/entries/cocoa-coated-nuts/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/cocoa-coated-nuts.json,平,1,0,0,1,0,0,0.05,0.09,0.24,0.05,0.05,0.04,0.05,0.06,0.04,0.05,阳-,0.15,0.29,0.13,0.37,0.21,阳-,0.26,0.37,0.07,0.45,0.11,阴-,0.24,0.43,0.09,0.06,0.42,阴-,0.24,0.43,0.21,0.27,0.09,阴-,0.2,0.39,0.26,0.2,0.15
spicy-nuts,辣味坚果,辣味坚果,正式目录,卷三,坚果种仁部,调味坚果,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:20.899637+00:00,9a32cde42ea29057c7f0aaa03fe3ed4f3502fe02292faf84c23f8421bfdea1a8,references/entries/spicy-nuts/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/spicy-nuts.json,平,0.88,0,0,0.91,0.06,0.03,0.04,0.06,0.14,0.43,0.17,0.05,0.06,0.08,0.05,0.04,阳+,0.46,0.12,0.01,0.27,0.6,阳+,0.22,0.23,0.03,0.33,0.41,阳+,0.34,0.38,0.02,0.1,0.5,阳+,0.19,0.31,0.02,0.28,0.39,阳+,0.21,0.36,0.04,0.19,0.41
mixed-nuts,混合坚果,混合坚果,正式目录,卷三,坚果种仁部,调味坚果,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T12:58:21.087771+00:00,833fba4e957800455caf1cd79461da7e429a804d77d9c0e9fcfc2ff9a5140e42,references/entries/mixed-nuts/mapping.md,qa/jev-entry-batches/11-tree-nut-snacks/raw/mixed-nuts.json,平,1,0,0,1,0,0,0.05,0.05,0.16,0.07,0.09,0.05,0.05,0.08,0.05,0.06,阳+,0.05,0.21,0.27,0.24,0.27999999999999997,阴+,0.13,0.24,0.35,0.27,0.14,阳+,0.34,0.28,0.19,0.03,0.5,阴+,0.19,0.39,0.39,0.12,0.1,阴+,0.37,0.27,0.54,0.06,0.13
nut-fruit-mix,坚果果干混合,坚果果干混合,正式目录,卷三,坚果种仁部,调味坚果,composite_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:13.214892+00:00,53a10c35ed7fa2a70e1b546a04e50a88df89457a54e0388d926169f33ecb74f5,references/entries/nut-fruit-mix/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/nut-fruit-mix.json,平,1,0,0,1,0,0,0.07,0.04,0.25,0.05,0.07,0.06,0.05,0.09,0.04,0.06,阳-,0.03,0.25,0.23,0.28,0.24,阴-,0.14,0.35,0.22,0.28,0.15,阳+,0.31,0.29,0.2,0.02,0.49,阴+,0.25,0.37,0.43,0.12,0.08,阴+,0.29,0.35,0.47,0.08,0.1
chia-seed,奇亚籽,奇亚籽,正式目录,卷三,坚果种仁部,种子与籽类,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:13.559892+00:00,d5bd4b4c306189d6551c5a2bee1acf4cecc8136d396e6523d042e684d3b77e2d,references/entries/chia-seed/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/chia-seed.json,平,1,0,0,1,0,0,0.08,0.06,0.19,0.06,0.06,0.07,0.07,0.13,0.07,0.08,阴+,0.16,0.26,0.37,0.27,0.1,阴-,0.22,0.41,0.34,0.21,0.04,阴-,0.37,0.52,0.25,0.01,0.22,阴+,0.51,0.31,0.63,0.03,0.03,阴+,0.38,0.4,0.53,0.04,0.03
flaxseed,亚麻籽,亚麻籽,正式目录,卷三,坚果种仁部,种子与籽类,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:13.873008+00:00,2e3b520e2bb0c6120e95f176a207e225f8fb16588d1587f5374cd0ed2d9e38c4,references/entries/flaxseed/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/flaxseed.json,温,0.63,0,0,0.29,0.71,0,0.05,0.05,0.76,0.07,0.05,0.17,0.11,0.19,0.09,0.12,阳+,0.31,0.06,0.1,0.36,0.48,阳+,0.16,0.14,0.26,0.23,0.37,阳+,0.59,0.18,0.12,0,0.7,阴+,0.22,0.23,0.41,0.04,0.32,阳+,0.26,0.23,0.25,0.08,0.44
pumpkin-seeds,南瓜籽,南瓜籽,正式目录,卷三,坚果种仁部,种子与籽类,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:14.244041+00:00,23e4562f9dff405231798529b4972e70f5e8764a9223f94694db02743836c64f,references/entries/pumpkin-seeds/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/pumpkin-seeds.json,平,1,0,0,1,0,0,0.06,0.06,0.17,0.07,0.08,0.08,0.08,0.1,0.06,0.09,阳-,0.29,0.15,0.13,0.47000000000000003,0.25,阴-,0.15,0.36,0.26,0.26,0.12,阳+,0.26,0.27,0.27,0.02,0.44,阴-,0.27,0.45,0.3,0.12,0.13,阴+,0.3,0.35,0.47,0.06,0.12
sunflower-seed-kernels,葵花籽仁,葵花籽仁,正式目录,卷三,坚果种仁部,种子与籽类,ingredient,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:14.563068+00:00,dda0644c66dc4a8abba8b0bc40f0fbc1301ca68fd4134cfaea1a0b2f6fbb72e0,references/entries/sunflower-seed-kernels/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/sunflower-seed-kernels.json,平,0.98,0,0,0.99,0.01,0,0.06,0.05,0.22,0.07,0.11,0.08,0.09,0.11,0.06,0.08,阴-,0.02,0.27,0.27,0.25,0.21,阴+,0.15,0.33,0.37,0.17,0.13,阳+,0.28,0.28,0.24,0.02,0.46,阴-,0.16,0.37,0.35,0.13,0.15,阴+,0.39,0.32,0.54,0.04,0.1
quinoa-crisps,藜麦脆,藜麦脆,正式目录,卷三,坚果种仁部,种子与籽类,processed_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:14.873693+00:00,e45539358c6ac9959e8711f130dd4d7106cef7e683245d95dc645b7a77035522,references/entries/quinoa-crisps/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/quinoa-crisps.json,平,1,0,0,1,0,0,0.04,0.04,0.13,0.05,0.07,0.04,0.04,0.07,0.04,0.04,阳+,0.1,0.26,0.11,0.3,0.33,阳-,0.22,0.38,0.06,0.42,0.14,阳+,0.41,0.34,0.08,0.02,0.56,阴-,0.23,0.42,0.23,0.16,0.19,阴-,0.25,0.44,0.29,0.11,0.16
hemp-protein-food,火麻仁蛋白食品,火麻仁蛋白食品,正式目录,卷三,坚果种仁部,种子与籽类,supplement,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:15.241242+00:00,5d3f6bc04756cc00dddceba75fefafa6d1e619f8b705b11d10b1b43358939f9a,references/entries/hemp-protein-food/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/hemp-protein-food.json,平,1,0,0,1,0,0,0.05,0.05,0.17,0.06,0.05,0.05,0.06,0.12,0.05,0.06,阳+,0.14,0.17,0.34,0.14,0.35,阴+,0.05,0.28,0.29,0.28,0.15,阳+,0.59,0.13,0.17,0.01,0.69,阴+,0.34,0.26,0.51,0.12,0.11,阴+,0.43,0.28,0.57,0.05,0.1
peanut-butter,花生酱,花生酱,正式目录,卷三,坚果种仁部,坚果酱,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:15.551113+00:00,2f62ef6b0624324626a1ff8d09c37e58fbb1bf222873cb99c97fab9148f326b2,references/entries/peanut-butter/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/peanut-butter.json,平,0.99,0,0,0.99,0.01,0,0.05,0.05,0.26,0.06,0.1,0.06,0.06,0.15,0.05,0.06,阳+,0.47,0.12,0.18,0.09,0.61,阳+,0.1,0.3,0.24,0.13,0.33,阳+,0.64,0.11,0.15,0.01,0.73,阴-,0.18,0.39,0.3,0.07,0.24,阴+,0.22,0.27,0.41,0.06,0.26
almond-butter,杏仁酱,杏仁酱,正式目录,卷三,坚果种仁部,坚果酱,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:16.069135+00:00,b0dced32a271eb5d91df26957f197e61c6369e060794c6e57b37f97d80ce02df,references/entries/almond-butter/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/almond-butter.json,平,0.98,0,0,0.99,0.01,0,0.07,0.06,0.25,0.06,0.1,0.07,0.08,0.12,0.07,0.08,阴+,0.35,0.2,0.51,0.14,0.15,阴+,0.42,0.27,0.56,0.1,0.06,阴+,0.3,0.14,0.48,0.01,0.37,阴+,0.6,0.23,0.69,0.04,0.04,阴+,0.67,0.18,0.76,0.02,0.04
cashew-butter,腰果酱,腰果酱,正式目录,卷三,坚果种仁部,坚果酱,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T13:36:16.382323+00:00,d39c1a094d75ca4bcf3e46e72eed42a1e52c1f001b276b237583ad37e1c571d8,references/entries/cashew-butter/mapping.md,qa/jev-entry-batches/12-seeds-and-butters/raw/cashew-butter.json,平,0.99,0,0,1,0,0,0.05,0.05,0.2,0.06,0.1,0.05,0.06,0.09,0.05,0.06,阴+,0.15,0.2,0.36,0.17,0.27,阴+,0.26,0.27,0.45,0.12,0.16,阳+,0.22,0.18,0.39,0.02,0.41,阴+,0.27,0.31,0.45,0.1,0.14,阴+,0.54,0.22,0.65,0.04,0.09
pistachio-butter,开心果酱,开心果酱,正式目录,卷三,坚果种仁部,坚果酱,processed_food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T14:02:36.294961+00:00,cbbfd00b47438e15f27764c3ea1f3c5f21b00799bfd49bafc8794f004d4648ea,references/entries/pistachio-butter/mapping.md,qa/jev-entry-batches/13-pistachio-and-dairy/raw/pistachio-butter.json,平,0.99,0,0,0.99,0.01,0,0.05,0.05,0.2,0.06,0.07,0.05,0.07,0.1,0.05,0.07,阳+,0.09,0.19,0.31,0.19,0.31,阴+,0.13,0.29,0.34,0.19,0.18,阳+,0.35,0.24,0.24,0.02,0.5,阴-,0.18,0.38,0.37,0.13,0.12,阴+,0.43,0.27,0.58,0.05,0.1
sesame-nut-mix-butter,芝麻坚果混合酱,芝麻坚果混合酱,正式目录,卷三,坚果种仁部,坚果酱,composite_food,R1,summary_frozen_R1,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T14:02:36.761981+00:00,08a43d291d4c3a1a709f888912963a9cdbbaeb44a3b98ad90bae5389fcec7124,references/entries/sesame-nut-mix-butter/mapping.md,qa/jev-entry-batches/13-pistachio-and-dairy/raw/sesame-nut-mix-butter.json,平,1,0,0,1,0,0,0.05,0.05,0.2,0.07,0.08,0.05,0.06,0.11,0.05,0.08,阴+,0.39,0.17,0.54,0.08,0.21,阴+,0.44,0.22,0.57,0.11,0.1,阳+,0.24,0.14,0.42,0.01,0.43,阴+,0.54,0.24,0.65,0.05,0.06,阴+,0.75,0.14,0.81,0.02,0.03
fresh-milk,鲜牛奶,鲜牛奶,正式目录,卷四,乳酪与发酵部,乳与酸乳,food,R2,summary_frozen_R2,2026-09-24,jev-1.13.0,jev-tcm-reasoning-v0.4,jev-tcm-pilot-fixtures-v0.4,2026-09-24T14:02:37.179157+00:00,b3fbd4deb9ba430364d3b6d59da37a4d69bec03f69fa3b3dcb009f79275398b7,references/entries/fresh-milk/mapping.md,qa/jev-entry-batches/13-pistachio-and-dairy/raw/fresh-milk.json,凉,0.65,0.1,0.73,0.17,0,0,0.05,0.04,0.94,0.04,0.05,0.1,0.06,0.44,0.14,0.17,阴+,0.53,0.01,0.65,0.33,0.01,阴+,0.42,0.07,0.5700000000000001,0.35,0.01,阴+,0.67,0.01,0.76,0.08,0.15,阴+,0.63,0.02,0.72,0.26,0,阴+,0.82,0.02,0.86,0.11,0.01
